Survivors,Killed
Squamosal horn length,Squamosal horn length
25.2,21.4
26.9,23.9
26.6,23.2
25.6,22.6
25.7,22.5
25.9,19.3
27.3,23.5
25.1,23.4
30.3,19
25.6,21.7
26,20.2
24.6,26.7
25.6,21.7
25.3,21
23.5,23.9
24.5,24.6
23.3,21.6
26,25.3
23.9,25
27.3,25.2
25.4,15.2
25.5,22.9
21.4,21.4
23.8,23.9
25.5,17.2
19.2,15.5
20.7,22
19.2,22
25.5,23.1
20.5,20.7
20.6,
24.9,
23.7,
23.4,
25.6,
26.6,
27.7,
25.7,
27,
26.5,
25,
19.7,
27.1,
23,
22.7,
25.8,
28.8,
23.5,
23.2,
25.3,
23.8,
25.1,
26.7,
27.1,
22.5,
25.5,
24.4,
25.6,
20.6,
25.5,
24.5,
23,
27.6,
27.3,
20.7,
26,
25.1,
19.9,
23.5,
24.8,
22.4,
24.7,
27.5,
21.5,
24,
22.4,
21.3,
25,
24.3,
24.5,
23.6,
21.1,
25.6,
26.1,
23.7,
24.2,
23.2,
26.5,
28.1,
24.1,
29.5,
24,
26.8,
25.8,
23.3,
22.4,
24.2,
26.1,
23.2,
21.7,
24.7,
21.4,
18.5,
23.2,
,
21.5,
29.1,
21.7,
23.5,
23,
20,
21.9,
27.4,
27.1,
23.1,
23.8,
26.5,
27,
26.4,
26.3,
20.6,
24.5,
22.8,
25.5,
25.3,
28,
20.8,
25.9,
24,
22.5,
26.3,
23.3,
24.5,
21.6,
23.6,
23,
22.4,
27.4,
25,
23.9,
28.2,
27.2,
13.1,
22.9,
26.6,
25.8,
26.3,
20.9,
25.6,
24.8,
19.2,
27.4,
24.2,
15.7,
17.7,
